Material,AlAs,GaAs,InAs,AlSb,GaSb,InSb,AlP,GaP,InP,GaN,AlN,InN,C,Si,Ge,Sn,3C-SiC,ZnSe,ZnTe,CdS,ZnS,CdSe,CdTe,Void
a,5.6611,5.6533,6.0583,6.1355,6.0959,6.4794,5.4672,5.4505,5.8697,4.5,4.38,4.98,3.5668,5.431,5.658,6.49,4.3596,5.668,6.101,5.832,5.409,6.477,6.1,1
Eg6cG,3.099,1.5192,0.417,2.386,0.812,0.2352,3.63,2.886,1.4236,3.299,5.4,0.78,7.3,4.185,0.89,0.0001,6,2.8215,2.394,2.5,3.68,1.714,1.474,0
alphaG,8.85E-04,5.41E-04,2.76E-04,4.20E-04,3.00E-04,3.20E-04,5.77E-04,5.77E-04,3.63E-04,5.93E-04,5.93E-04,2.45E-04,0,0.00E+00,5.82E-04,0,0,0,0,0,0,0,0,0
betaG,530,204,93,140,140,170,372,372,162,600,600,624,0,0,296,0,0,0,0,0,0,0,0,0
EgX,2.24,1.981,1.433,1.696,1.141,0.63,2.52,2.35,2.384,4.52,4.9,2.51,5.5,1.166,1.2,nan,2.36,nan,nan,nan,nan,nan,nan,0
alphaX,7.00E-04,4.60E-04,2.76E-04,3.90E-04,4.75E-04,0.00E+00,3.18E-04,5.77E-04,3.70E-04,5.93E-04,5.93E-04,2.45E-04,0,4.73E-04,0,0,0,0,0,0,0,0,0,0
betaX,530,204,93,140,94,0,588,372,0,600,600,624,0,636,0,0,0,0,0,0,0,0,0,0
EgL,2.46,1.815,1.133,2.329,0.875,0.93,3.57,2.72,2.014,5.59,9.3,5.82,nan,2.4,0.7437,nan,4.6,nan,nan,nan,nan,nan,nan,0
alphaL,6.05E-04,6.05E-04,2.76E-04,5.80E-04,5.97E-04,0.00E+00,3.18E-04,5.77E-04,3.63E-04,5.93E-04,5.93E-04,2.45E-04,0,0,4.77E-04,0,0,0,0,0,0,0,0,0
betaL,204,204,93,140,140,0,588,372,162,600,600,624,0,0,235,0,0,0,0,0,0,0,0,0
VBO,-1.33,-0.8,-0.59,-0.41,-0.03,0,-0.74,-1.27,-0.945,-2.64,-3.44,-2.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Epsi_stat,10.6,12.9,15.15,12.04,15.7,16.8,9.8,11.1,12.5,9.7,9,15,nan,11.7,16,nan,nan,9.2,9.3,8.6,8.6,9.5,2.27,0
Epsi_inf,8.16,10.6,12.3,12.3,14.5,15.7,nan,9.11,10.9,5.3,4.8,8.5,nan,nan,nan,nan,nan,5.8,6.9,5.3,5.2,6.2,nan,0
EP_Kane,21.1,22.71,21.11,18.7,22.88,22.49,nan,nan,17,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,nan,0
EP_Luttinger,21.1,28.8,21.5,18.7,27,23.3,17.7,31.4,20.7,25,27.1,17.2,0,0,0,0,0,24.2,19.1,21,20.4,20,20.7,0
